code,name,source_a_count,source_b_count,merged_count,fix_from,price_mismatch,quality_issues
688159,有方科技,0,1292,1292,BaoStock,0,0
688160,步科股份,0,1292,1292,BaoStock,0,0
688161,威高骨科,0,1175,1175,BaoStock,0,0
688162,巨一科技,0,1087,1087,BaoStock,0,0
688163,赛伦生物,0,1006,1006,BaoStock,0,0
688165,埃夫特,0,1292,1292,BaoStock,0,10
688166,博瑞医药,0,1292,1292,BaoStock,0,0
688167,炬光科技,0,1055,1055,BaoStock,0,0
688168,安博通,0,1292,1292,BaoStock,0,0
688169,石头科技,0,0,0,none,0,0
688170,德龙激光,0,0,0,none,0,0
688171,纬德信息,0,0,0,none,0,0
688172,燕东微,0,0,0,none,0,0
688173,希荻微,0,0,0,none,0,0
688175,高凌信息,0,0,0,none,0,0
688176,亚虹医药,0,0,0,none,0,0
688177,百奥泰,0,0,0,none,0,0
688178,万德斯,0,0,0,none,0,0
688179,阿拉丁,0,0,0,none,0,0
688180,君实生物,0,0,0,none,0,0
688181,八亿时空,0,0,0,none,0,0
688182,灿勤科技,0,0,0,none,0,0
688357,建龙微纳,1292,1292,1292,TDX+BaoStock,6,0
688358,祥生医疗,1292,1292,1292,TDX+BaoStock,7,0
688359,三孚新科,1202,1202,1202,TDX+BaoStock,0,0
688360,德马科技,1282,1292,1292,TDX+BaoStock,5,0
688361,中科飞测,718,0,718,TDX,0,0
688362,甬矽电子,840,0,840,TDX,0,0
688363,华熙生物,1292,0,1292,TDX,0,0
688365,光云科技,1292,1292,1292,TDX+BaoStock,0,0
688366,昊海生科,1292,1292,1292,TDX+BaoStock,5,0
688367,工大高科,1177,1177,1177,TDX+BaoStock,4,0
688368,晶丰明源,1272,1292,1292,TDX+BaoStock,2,0
688369,致远互联,1292,1292,1292,TDX+BaoStock,4,0
688370,丛麟科技,893,893,893,TDX+BaoStock,3,0
688371,菲沃泰,910,910,910,TDX+BaoStock,0,0
688372,伟测科技,855,855,855,TDX+BaoStock,3,0
688373,盟科药业,907,907,907,TDX+BaoStock,0,0
688375,国博电子,917,917,917,TDX+BaoStock,4,0
688376,美埃科技,838,838,838,TDX+BaoStock,2,0
688377,迪威尔,1292,1292,1292,TDX+BaoStock,4,0
688378,奥来德,1292,1292,1292,TDX+BaoStock,5,0
688379,华光新材,1292,1292,1292,TDX+BaoStock,3,0
688380,中微半导,907,907,907,TDX+BaoStock,3,0
688381,帝奥微,885,895,895,TDX+BaoStock,2,0
688382,益方生物,916,916,916,TDX+BaoStock,0,0
688383,新益昌,1216,1216,1216,TDX+BaoStock,0,0
688385,复旦微电,1150,1150,1150,TDX+BaoStock,0,0
688386,泛亚微透,1292,1292,1292,TDX+BaoStock,4,0
688387,信科移动,872,0,872,TDX,0,0
688388,嘉元科技,1292,0,1292,TDX,0,0
688389,普门科技,1292,0,1292,TDX,0,0
688390,固德威,1292,0,1292,TDX,0,0
688391,钜泉科技,881,0,881,TDX,0,0
688392,骄成超声,871,0,871,TDX,0,0
688393,安必平,1292,0,1292,TDX,0,0
688395,正弦电气,1215,0,1215,TDX,0,0
688396,华润微,1292,0,1292,TDX,0,0
688398,赛特新材,1292,0,1292,TDX,0,0
688399,硕世生物,1292,0,1292,TDX,0,0
688400,凌云光,929,0,929,TDX,0,0
688401,路维光电,899,0,899,TDX,0,0
688403,汇成股份,898,0,898,TDX,0,0
688408,中信博,1292,0,1292,TDX,0,0
688409,富创精密,867,0,867,TDX,0,0
688410,山外山,812,0,812,TDX,0,0
688411,海博思创,306,0,306,TDX,0,0
688416,恒烁股份,891,0,891,TDX,0,0
688418,震有科技,1292,0,1292,TDX,0,0
688419,耐科装备,847,0,847,TDX,0,0
688420,美腾科技,823,0,823,TDX,0,0
688425,铁建重工,1181,0,1181,TDX,0,0
688521,芯原股份,1282,1292,1292,TDX+BaoStock,0,0
688522,纳睿雷达,761,771,771,TDX+BaoStock,3,0
688523,航天环宇,708,708,708,TDX+BaoStock,1,0
688525,佰维存储,808,808,808,TDX+BaoStock,0,0
688526,科前生物,1292,1292,1292,TDX+BaoStock,4,0
688528,秦川物联,1292,1292,1292,TDX+BaoStock,2,0
688529,豪森智能,1292,1292,1292,TDX+BaoStock,1,0
688530,欧莱新材,484,484,484,TDX+BaoStock,0,0
688531,日联科技,739,749,749,TDX+BaoStock,2,0
688533,上声电子,1223,1223,1223,TDX+BaoStock,2,0
688535,华海诚科,737,747,747,TDX+BaoStock,1,0
688536,思瑞浦,1272,1292,1292,TDX+BaoStock,1,0
688538,和辉光电,1197,1197,1197,TDX+BaoStock,0,0
688539,高华科技,738,738,738,TDX+BaoStock,2,0
688543,国科军工,695,695,695,TDX+BaoStock,2,0
688545,兴福电子,309,309,309,TDX+BaoStock,0,0
688548,广钢气体,658,658,658,TDX+BaoStock,1,0
688549,中巨芯,640,640,640,TDX+BaoStock,0,0
688550,瑞联新材,1287,1292,1292,TDX+BaoStock,6,0
688551,科威尔,1292,1292,1292,TDX+BaoStock,4,0
688552,航天南湖,719,719,719,TDX+BaoStock,0,0
688553,汇宇制药,1098,1098,1098,TDX+BaoStock,3,0
688556,高测股份,1292,1292,1292,TDX+BaoStock,6,0
688557,兰剑智能,1292,1292,1292,TDX+BaoStock,5,0
688558,国盛智科,1292,1292,1292,TDX+BaoStock,4,0
688559,海目星,1292,1292,1292,TDX+BaoStock,0,0
688560,明冠新材,1292,1292,1292,TDX+BaoStock,2,0
688561,奇安信,1292,1292,1292,TDX+BaoStock,0,0
688562,航天软件,715,715,715,TDX+BaoStock,0,0
688563,航材股份,677,677,677,TDX+BaoStock,1,0
688565,力源科技,1208,1208,1208,TDX+BaoStock,1,0
688566,吉贝尔,1292,1292,1292,TDX+BaoStock,9,0
688567,孚能科技,1285,1292,1292,TDX+BaoStock,0,0
688568,中科星图,1292,1292,1292,TDX+BaoStock,3,0
688569,铁科轨道,1292,1292,1292,TDX+BaoStock,5,0
688570,天玛智控,707,707,707,TDX+BaoStock,2,0
688571,杭华股份,1292,1292,1292,TDX+BaoStock,5,0
688573,信宇人,656,656,656,TDX+BaoStock,1,0
688575,亚辉龙,1206,1206,1206,TDX+BaoStock,4,0
688576,西山科技,706,706,706,TDX+BaoStock,2,0
688577,浙海德曼,1292,1292,1292,TDX+BaoStock,5,0
688578,艾力斯,1292,1292,1292,TDX+BaoStock,1,0
688579,地纬智能,1292,1292,1292,TDX+BaoStock,3,0
688580,伟思医疗,1292,1292,1292,TDX+BaoStock,4,0
688581,安杰思,718,718,718,TDX+BaoStock,2,0
688582,芯动联科,690,690,690,TDX+BaoStock,0,0
688583,思看科技,314,314,314,TDX+BaoStock,1,0
688584,上海合晶,538,538,538,TDX+BaoStock,2,0
688585,上纬新材,1278,1292,1292,TDX+BaoStock,1,0
688586,江航装备,1292,1292,1292,TDX+BaoStock,5,0
688588,凌志软件,1282,1292,1292,TDX+BaoStock,5,0
688589,力合微,1292,1292,1292,TDX+BaoStock,3,0
688590,新致软件,1292,1292,1292,TDX+BaoStock,2,0
688591,泰凌微,645,650,650,TDX+BaoStock,0,0
688592,司南导航,657,657,657,TDX+BaoStock,1,0
688593,新相微,699,709,709,TDX+BaoStock,0,0
688595,芯海科技,1292,1292,1292,TDX+BaoStock,1,0
688596,正帆科技,1292,1292,1292,TDX+BaoStock,3,0
688597,煜邦电力,1184,1184,1184,TDX+BaoStock,4,0
688598,金博股份,1292,1292,1292,TDX+BaoStock,2,0
688599,天合光能,1292,1292,1292,TDX+BaoStock,3,0
688600,皖仪科技,1292,1292,1292,TDX+BaoStock,4,0
688601,力芯微,1177,1177,1177,TDX+BaoStock,4,0
688602,康鹏科技,676,676,676,TDX+BaoStock,0,0
688603,天承科技,684,684,684,TDX+BaoStock,2,0
688605,先锋精科,337,337,337,TDX+BaoStock,0,0
688606,奥泰生物,1239,1239,1239,TDX+BaoStock,7,0
688607,康众医疗,1272,1272,1272,TDX+BaoStock,1,0
688608,恒玄科技,1292,1292,1292,TDX+BaoStock,1,0
688609,九联科技,1241,1241,1241,TDX+BaoStock,0,0
688610,埃科光电,677,677,677,TDX+BaoStock,0,0
688611,杭州柯林,1228,1228,1228,TDX+BaoStock,4,0
688612,威迈斯,672,672,672,TDX+BaoStock,3,0
688613,奥精医疗,1202,1202,1202,TDX+BaoStock,2,0
688615,合合信息,387,387,387,TDX+BaoStock,2,0
