code,board,bars,first_bar,last_bar,written,status,errors
000637,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000639,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000650,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000651,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000652,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000655,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000656,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000657,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000659,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000661,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000663,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000665,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000668,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000669,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000670,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000672,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000676,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000677,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000678,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000679,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000680,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000681,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000682,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000683,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000685,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000686,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000688,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000690,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000691,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000692,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000695,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000697,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000698,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000700,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000701,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000702,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000703,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000705,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000707,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000708,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000709,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000710,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000711,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000712,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000713,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000715,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000716,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000717,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000718,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000719,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000720,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000721,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000722,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000723,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000725,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000726,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000727,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000728,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000729,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000731,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000733,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000735,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000736,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000737,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000738,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000739,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000750,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000751,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000752,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000753,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000755,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000756,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000757,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000758,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000759,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000761,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000762,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000766,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000767,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000768,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000776,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000777,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000778,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000779,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000782,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000783,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000785,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000786,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000788,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000789,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000790,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000791,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000792,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000793,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000795,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000796,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000797,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000798,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000799,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000800,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000801,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000802,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000803,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000807,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000809,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000810,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000811,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000812,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000813,main_sz,64,2026-06-22 10:00,2026-06-26 09:45,64,ok,15m bar数异常: 2026-06-22 count=15 (期望16)
000815,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000816,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
000818,main_sz,64,2026-06-22 09:45,2026-06-25 15:00,64,ok,
