sell_date,sell_price,return_pct,max_return_pct,sell_type,d0_vol_ratio,d0_upper_shadow,d1_gap,buy_date,code,board,board_type,n_limit
2025-03-31 00:00:00,5.4538,-8.85,1.15,stop_loss,3.49,0.0,-0.81,2025-03-17 00:00:00,000417,深主板,main,2
2025-04-07 00:00:00,5.22,-13.58,4.3,stop_loss,4.05,0.0,0.0,2025-02-11 00:00:00,000419,深主板,main,2
2026-03-02 00:00:00,6.16,-9.41,0.59,stop_loss,3.54,0.0,-3.55,2025-12-22 00:00:00,000419,深主板,main,2
2024-01-22 00:00:00,2.72,-12.26,4.19,stop_loss,4.67,0.0,-0.64,2024-01-12 00:00:00,000420,深主板,main,2
2025-04-07 00:00:00,3.37,-16.79,0.99,stop_loss,2.36,0.0,0.75,2025-03-19 00:00:00,000420,深主板,main,2
2025-05-15 00:00:00,4.51,19.31,19.31,take_profit,2.45,0.0,-0.79,2025-04-24 00:00:00,000420,深主板,main,2
2024-04-09 00:00:00,5.3153,3.2,11.09,trailing_stop,2.03,0.0,0.0,2024-03-07 00:00:00,000421,深主板,main,2
2024-07-19 00:00:00,5.2977,2.1,19.47,trailing_stop,3.05,0.0,1.35,2024-07-17 00:00:00,000421,深主板,main,2
2024-11-29 00:00:00,7.3871,8.43,20.64,trailing_stop,2.13,0.0,-1.85,2024-11-26 00:00:00,000421,深主板,main,2
2026-03-05 00:00:00,6.96,-9.84,0.0,stop_loss,4.66,0.0,-0.13,2026-03-04 00:00:00,000421,深主板,main,2
2024-07-22 00:00:00,12.14,-8.58,4.29,stop_loss,4.18,0.0,1.3,2024-07-02 00:00:00,000422,深主板,main,2
2025-03-27 00:00:00,15.44,3.14,10.22,trailing_stop,3.36,0.0,1.56,2025-03-25 00:00:00,000422,深主板,main,2
2025-05-15 00:00:00,12.25,0.49,9.02,trailing_stop,3.33,0.0,-1.06,2025-05-08 00:00:00,000422,深主板,main,2
2025-10-16 00:00:00,13.31,-9.76,3.59,stop_loss,2.69,0.0,1.51,2025-09-30 00:00:00,000422,深主板,main,2
2026-03-05 00:00:00,17.48,1.75,9.08,trailing_stop,2.81,0.0,1.36,2026-02-25 00:00:00,000422,深主板,main,2
2024-01-22 00:00:00,4.0,-13.98,0.0,stop_loss,2.6,0.0,1.09,2024-01-17 00:00:00,000428,深主板,main,2
2024-11-13 00:00:00,3.5,-8.62,0.0,stop_loss,2.09,0.0,0.79,2024-11-08 00:00:00,000428,深主板,main,2
2025-04-18 00:00:00,3.77,5.9,20.51,trailing_stop,2.2,0.0,0.85,2025-04-14 00:00:00,000428,深主板,main,2
2024-05-28 00:00:00,6.45,0.31,7.0,trailing_stop,2.98,0.0,1.42,2024-04-23 00:00:00,000430,深主板,main,2
2024-12-17 00:00:00,10.63,1.05,12.26,trailing_stop,2.27,0.0,0.38,2024-12-13 00:00:00,000501,深主板,main,2
2024-05-29 00:00:00,8.14,-8.02,0.0,stop_loss,2.01,0.0,-0.23,2024-05-27 00:00:00,000503,深主板,main,2
2024-08-12 00:00:00,6.86,-8.53,3.2,stop_loss,2.64,0.0,1.35,2024-07-24 00:00:00,000503,深主板,main,2
2024-12-17 00:00:00,12.1,-11.61,5.92,stop_loss,2.37,0.0,-1.23,2024-11-28 00:00:00,000503,深主板,main,2
2025-02-11 00:00:00,11.4,5.07,12.44,trailing_stop,3.26,0.0,1.88,2025-02-06 00:00:00,000503,深主板,main,2
2025-01-22 00:00:00,9.03,5.0,12.33,trailing_stop,2.67,0.0,-0.92,2025-01-15 00:00:00,000504,深主板,main,2
2024-01-31 00:00:00,6.07,-13.41,0.0,stop_loss,7.61,0.0,-0.14,2024-01-29 00:00:00,000505,深主板,main,2
2024-12-17 00:00:00,6.67,-10.83,0.0,stop_loss,4.56,0.0,0.13,2024-12-03 00:00:00,000505,深主板,main,2
2024-04-03 00:00:00,5.01,21.01,21.01,take_profit,6.33,0.0,-1.9,2024-03-22 00:00:00,000506,深主板,main,2
2025-06-09 00:00:00,9.45,18.87,23.27,take_profit,6.65,0.0,-1.97,2025-06-06 00:00:00,000506,深主板,main,2
2025-10-13 00:00:00,14.08,18.42,18.59,take_profit,2.01,0.0919,-0.5,2025-10-10 00:00:00,000506,深主板,main,2
2026-03-05 00:00:00,20.02,-8.33,0.0,stop_loss,2.8,0.0,-2.19,2026-03-03 00:00:00,000506,深主板,main,2
2026-04-23 00:00:00,16.48,-9.65,5.1,stop_loss,2.07,0.0,-2.51,2026-04-09 00:00:00,000506,深主板,main,2
2024-04-16 00:00:00,4.65,-8.28,0.79,stop_loss,8.54,0.0,-2.5,2024-03-15 00:00:00,000507,深主板,main,2
2025-04-07 00:00:00,4.65,-14.21,4.06,stop_loss,5.18,0.0,-1.09,2025-03-19 00:00:00,000507,深主板,main,2
2025-03-24 00:00:00,3.33,-10.72,0.0,stop_loss,3.74,0.0,1.08,2025-03-10 00:00:00,000509,深主板,main,2
